school_id,student_id,sch_yr,grade,frl,ell,math,reading,enrolled,attended
1032,933171,2017,K,1,N,190,212,162,151
1031,605554,2017,2nd,0,N,180,185,168,152
1021,232204,2017,3rd,0,N,122,218,180,146
1016,437424,2017,3rd,1,Y,191,149,177,143
1017,863422,2017,3rd,0,N,,,172,169
1018,934019,2017,K,0,Y,,,177,140
1041,168867,2017,3rd,0,N,168,237,164,148
1017,635060,2017,3rd,0,Y,213,223,155,143
1012,329501,2017,1st,0,N,171,145,156,141
1030,897449,2017,1st,0,N,176,137,160,133
1018,936118,2017,K,0,N,138,162,179,151
1024,854113,2017,2nd,0,Y,,,149,138
1027,913695,2017,K,0,Y,131,213,163,132
1023,157864,2017,2nd,0,Y,135,184,182,178
1021,176464,2017,1st,0,N,179,165,147,137
1010,866738,2017,2nd,0,N,169,127,167,161
1012,753701,2017,2nd,0,N,178,169,170,131
1029,933275,2017,K,1,N,163,141,171,149
1021,941258,2017,1st,1,Y,146,216,173,152
1018,798626,2017,2nd,0,N,127,229,173,131
1018,942801,2017,1st,1,Y,159,229,165,133
1014,944968,2017,1st,1,Y,208,131,173,141
1015,943798,2017,1st,1,N,121,211,159,133
1030,946495,2017,1st,0,Y,161,240,172,147
1028,865142,2017,2nd,1,N,213,234,178,169
1021,458830,2017,2nd,0,Y,129,199,181,139
1024,947931,2017,1st,0,Y,,,149,138
1021,939342,2017,K,1,N,,,162,157
1026,879498,2017,1st,1,N,127,219,159,150
1029,672240,2017,4th,1,N,131,154,157,139
1030,485518,2017,2nd,0,Y,141,167,158,133
1023,936723,2017,K,0,N,,,140,128
1027,746779,2017,3rd,1,Y,126,178,158,140
1028,891729,2017,3rd,0,N,175,223,171,165
1025,850837,2017,2nd,1,N,163,135,163,146
1024,858088,2017,3rd,0,N,165,138,173,130
1016,559160,2017,3rd,0,Y,212,224,176,161
1016,945401,2017,1st,1,Y,146,184,173,160
1014,455536,2017,2nd,0,N,211,215,180,160
1016,945502,2017,1st,0,N,196,197,160,152
1017,912994,2017,K,1,N,165,187,146,140
1031,477854,2017,3rd,0,N,152,239,159,158
1016,942618,2017,1st,1,Y,123,221,179,169
1018,209209,2017,3rd,1,N,161,156,162,137
1014,917687,2017,K,1,N,136,150,144,142
1023,638636,2017,3rd,1,N,163,133,179,153
1026,662946,2017,3rd,0,N,158,157,161,156
1042,864912,2017,4th,1,N,200,235,168,147
1027,941087,2017,1st,1,Y,198,215,170,159
1025,930596,2017,K,0,N,,,149,138
1013,663449,2017,4th,1,N,172,170,150,136
1016,180853,2017,2nd,1,N,135,156,150,134
1015,658178,2017,2nd,1,N,153,201,152,147
1027,512731,2017,2nd,0,Y,202,202,166,143
1017,317437,2017,1st,0,N,,,171,158
1029,886729,2017,2nd,0,N,,,149,147
1027,356046,2017,2nd,0,N,,,177,148
1059,297741,2017,2nd,1,Y,126,133,182,142
1038,946562,2017,1st,1,N,174,205,164,139
1031,931759,2017,K,0,N,,,139,130
1025,947147,2017,1st,0,N,132,173,168,150
1024,941990,2017,1st,0,N,147,177,151,144
1024,682328,2017,2nd,1,N,125,175,147,146
1025,743468,2017,2nd,1,Y,166,138,175,164
1026,529913,2017,4th,0,Y,154,202,180,180
1010,299892,2017,3rd,1,Y,179,175,162,154
1020,934781,2017,K,0,Y,206,158,167,152
1020,539303,2017,4th,0,N,167,173,169,153
1037,756269,2017,2nd,0,Y,193,169,145,144
1018,612951,2017,2nd,1,N,191,157,177,137
1016,607000,2017,2nd,0,N,179,150,179,149
1048,328307,2017,K,1,Y,164,170,173,156
1022,180529,2017,3rd,0,N,198,204,180,166
1018,862948,2017,2nd,0,N,,,180,136
1010,212805,2017,4th,1,N,189,143,175,157
1025,947792,2017,1st,0,N,163,164,172,135
1022,466484,2017,4th,0,Y,131,224,174,171
1041,475491,2017,4th,0,N,197,210,156,156
1028,362066,2017,4th,1,N,,,174,152
1012,605389,2017,2nd,1,N,196,238,176,147
1022,930391,2017,K,0,Y,131,224,174,171
1015,645392,2017,4th,0,N,190,151,173,140
1020,937529,2017,K,0,N,140,211,179,163
1020,930329,2017,K,0,N,124,169,181,130
1031,318123,2017,2nd,0,N,,,175,128
1019,911716,2017,K,0,N,135,138,175,153
1028,208886,2017,4th,1,N,169,185,152,145
1010,549719,2017,4th,1,Y,172,214,180,162
1016,766219,2017,2nd,1,N,178,132,173,129
1028,134681,2017,2nd,0,Y,176,237,154,140
1027,418936,2017,3rd,1,N,210,136,138,131
1031,474482,2017,2nd,1,Y,188,206,177,174
1027,941890,2017,1st,1,N,127,232,166,164
1021,501832,2017,2nd,1,Y,135,210,160,148
1022,949874,2017,1st,1,N,156,155,172,152
1023,916312,2017,K,0,Y,123,172,164,140
1013,148437,2017,4th,1,N,128,229,156,133
1032,866959,2017,2nd,1,N,190,212,162,151
1013,887613,2017,2nd,1,N,163,194,172,133
1032,772170,2017,2nd,1,Y,156,205,163,151
1010,189200,2017,K,0,N,154,181,139,131
1022,606351,2017,2nd,0,Y,158,216,130,128
1022,944135,2017,1st,1,Y,145,131,179,173
1011,910616,2017,K,0,N,152,174,163,136
1025,858564,2017,3rd,0,N,134,202,151,138
1030,943280,2017,1st,0,Y,137,169,157,142
1032,446510,2017,2nd,1,N,190,212,162,151
1028,857325,2017,3rd,1,N,206,148,162,148
1010,878855,2017,4th,0,N,151,136,169,158
1017,711887,2017,4th,0,Y,155,216,165,140
1027,934247,2017,K,1,N,163,188,167,136
1041,948354,2017,1st,1,Y,174,197,146,143
1021,309170,2017,4th,0,N,141,164,181,161
1028,164768,2017,4th,0,N,139,157,158,151
1053,504916,2017,3rd,0,Y,188,178,169,152
1022,411972,2017,2nd,0,Y,153,159,156,136
1011,659409,2017,4th,0,Y,200,130,157,134
1031,934167,2017,K,1,N,193,175,153,128
1026,868260,2017,1st,1,Y,203,152,157,138
1016,281992,2017,3rd,1,N,158,213,158,138
1022,851604,2017,4th,1,N,156,155,172,152
1025,723218,2017,3rd,0,N,133,235,164,147
1053,668318,2017,3rd,0,N,197,152,168,162
1018,940588,2017,1st,0,N,206,176,141,132
1017,948523,2017,1st,1,N,136,201,160,148
1031,801336,2017,4th,1,N,206,169,163,149
1018,433286,2017,4th,0,N,157,155,158,141
1017,429354,2017,2nd,0,N,140,236,178,135
1015,441788,2017,2nd,1,N,149,178,171,151
1020,933611,2017,K,0,N,,,145,131
1014,494185,2017,3rd,1,Y,129,195,178,159
1022,945282,2017,1st,0,N,143,154,173,155
1025,855407,2017,2nd,0,N,180,184,161,153
1015,932549,2017,K,1,Y,156,159,167,141
1024,930074,2017,K,1,N,129,157,170,166
1020,562931,2017,4th,0,Y,126,138,176,130
1012,919071,2017,K,0,Y,136,204,139,132
1023,694202,2017,2nd,1,N,196,195,137,135
1017,300601,2017,4th,1,Y,137,166,177,168
1025,948467,2017,1st,0,N,180,184,161,153
1010,269102,2017,3rd,0,N,138,198,148,140
1018,672149,2017,4th,1,Y,215,189,171,139
1020,146371,2017,2nd,1,N,177,239,168,142
1014,628583,2017,4th,0,Y,213,217,182,134
1010,725693,2017,3rd,1,N,144,165,173,163
1021,884060,2017,2nd,1,N,132,187,171,130
1015,651518,2017,3rd,1,N,157,140,155,146
1032,677558,2017,3rd,0,N,204,178,171,137
1040,935695,2017,K,1,N,,,141,141
1020,304917,2017,2nd,0,N,202,166,149,128
1032,737458,2017,3rd,0,Y,203,180,170,143
1027,679664,2017,3rd,1,N,153,131,182,178
1010,688849,2017,2nd,0,N,128,227,136,128
1018,481917,2017,4th,0,N,177,172,181,150
1031,875005,2017,2nd,1,Y,135,157,175,174
1012,935495,2017,K,1,Y,187,186,159,132
1020,541245,2017,2nd,0,Y,178,226,181,168
1020,211518,2017,2nd,0,N,146,155,171,154
1011,942356,2017,1st,0,Y,,,147,146
1021,706186,2017,4th,0,N,211,200,136,130
1014,206960,2017,4th,0,N,127,158,182,163
1014,446948,2017,3rd,1,N,122,147,165,157
1031,120786,2017,3rd,0,N,177,239,150,142
1028,704945,2017,2nd,0,N,132,136,182,161
1017,809778,2017,2nd,0,Y,121,132,168,138
1031,375222,2017,4th,1,N,,,168,130
1022,179054,2017,3rd,1,N,201,132,181,159
1030,718741,2017,3rd,1,N,150,227,161,146
1030,699216,2017,3rd,0,N,151,168,142,129
1017,944751,2017,1st,0,Y,155,216,165,140
1018,423458,2017,3rd,0,N,177,143,179,156
1034,488152,2017,3rd,0,N,154,192,137,130
1031,522434,2017,2nd,1,Y,134,202,176,149
1037,488234,2017,2nd,0,N,190,143,169,131
1028,268038,2017,3rd,1,N,173,153,162,154
1027,229971,2017,2nd,0,Y,193,176,154,142
1010,179716,2017,1st,0,Y,191,214,153,135
1022,850557,2017,1st,0,N,,,162,153
1025,874363,2017,1st,0,N,210,154,160,129
1038,597104,2017,2nd,0,Y,188,240,165,155
1014,723906,2017,2nd,1,Y,208,131,173,141
1030,862249,2017,1st,1,Y,137,201,171,161
1032,945878,2017,1st,0,Y,203,180,170,143
1015,917827,2017,K,1,N,157,140,155,146
1019,945149,2017,1st,1,N,,,181,174
1022,351601,2017,3rd,1,N,178,200,166,136
1027,357604,2017,3rd,1,N,,,164,164
1014,676607,2017,3rd,1,Y,158,238,173,132
1027,940205,2017,1st,1,Y,126,178,158,140
1019,931529,2017,K,0,N,162,141,175,168
1029,949612,2017,1st,1,Y,193,169,175,148
1024,936199,2017,K,0,N,131,173,173,143
1016,943173,2017,1st,1,Y,209,158,182,129
1029,933193,2017,K,0,N,170,211,152,132
1017,526797,2017,4th,1,Y,215,131,141,136
1032,858238,2017,1st,1,N,180,240,143,142
1022,138140,2017,2nd,1,Y,143,180,162,141
1027,911433,2017,K,1,N,153,131,182,178
1010,934567,2017,K,0,N,188,203,176,128
1016,707934,2017,3rd,0,N,201,202,180,150
1032,682114,2017,2nd,1,N,196,198,177,148
1017,940141,2017,1st,1,N,161,223,170,155
1019,691905,2017,2nd,1,N,187,146,180,150
1011,855537,2017,1st,0,Y,,,147,146
1017,895298,2017,4th,0,Y,156,195,140,136
1013,437149,2017,4th,1,N,194,208,165,143
1028,379614,2017,4th,0,N,,,168,156
1013,172190,2017,4th,1,N,168,220,174,161
1016,350761,2017,4th,0,N,136,137,166,136
1030,710591,2017,3rd,1,N,141,216,175,145
1014,911339,2017,K,0,N,182,178,170,155
1029,494097,2017,4th,1,N,185,131,179,130
1018,727683,2017,4th,0,N,206,176,141,132
1018,496368,2017,3rd,0,N,145,144,169,154
1027,151894,2017,4th,0,N,129,140,181,155
1022,386121,2017,3rd,0,N,,,176,168
1028,851313,2017,1st,0,N,122,127,170,139
1039,731440,2017,2nd,1,Y,180,146,171,152
1025,457107,2017,2nd,0,Y,136,142,175,157
1031,430258,2017,2nd,1,N,148,181,142,137
1010,934209,2017,K,1,N,121,215,150,131
1011,774957,2017,3rd,1,Y,147,209,175,130
1026,352152,2017,2nd,0,N,,,148,144
1028,938635,2017,K,1,N,212,234,146,129
1028,866078,2017,3rd,1,N,114,188,172,137
1037,939684,2017,K,1,N,134,240,170,131
1019,864367,2017,1st,0,N,,,172,153
1024,878593,2017,4th,0,N,158,163,147,130
1013,945242,2017,1st,0,Y,135,159,174,169
1016,757790,2017,2nd,0,N,196,197,160,152
1027,800107,2017,2nd,0,N,122,238,177,152
1027,750824,2017,4th,0,Y,128,238,140,138
1014,209839,2017,3rd,0,Y,201,227,179,147
1016,568944,2017,4th,0,Y,177,218,175,152
1029,524990,2017,3rd,0,N,131,153,134,131
1025,940517,2017,1st,0,N,134,202,151,138
1016,813053,2017,3rd,0,N,158,190,159,153
1013,886308,2017,4th,1,N,122,137,180,163
1030,432899,2017,3rd,1,Y,123,198,182,139
1028,931745,2017,K,0,N,,,168,156
1032,912744,2017,K,0,N,204,178,171,137
1012,676304,2017,2nd,0,Y,136,204,139,132
1010,124660,2017,3rd,0,Y,205,214,164,134
1014,893878,2017,2nd,0,Y,199,130,177,141
1014,932056,2017,K,1,N,122,147,165,157
1014,932066,2017,K,0,N,185,183,167,165
1019,340736,2017,1st,0,N,172,176,142,142
1014,884588,2017,4th,1,N,163,189,180,161
1014,224294,2017,3rd,0,N,163,186,161,138
1016,318358,2017,2nd,0,Y,,,180,149
1031,165736,2017,3rd,1,N,184,197,142,141
1028,817937,2017,4th,0,N,165,146,168,162
1021,892952,2017,2nd,0,N,172,210,182,134
1030,151388,2017,2nd,1,N,132,230,176,157
1028,935676,2017,K,1,N,,,174,152
1031,930280,2017,K,0,N,152,239,159,158
1019,454799,2017,3rd,1,N,150,200,179,156
1018,931664,2017,K,1,N,150,235,147,133
1015,912146,2017,K,0,N,208,195,149,133
1013,934358,2017,K,0,N,,,138,130
1028,280448,2017,3rd,0,Y,134,230,156,152
1029,936250,2017,K,0,Y,187,139,150,139
1032,350203,2017,4th,0,N,138,203,159,133
1027,880185,2017,2nd,0,N,162,199,177,141
1028,589059,2017,3rd,1,Y,122,163,165,148
1015,937719,2017,K,0,Y,142,177,177,131
1030,938356,2017,K,0,N,215,206,135,132
1010,893133,2017,1st,0,Y,130,198,180,155
1014,930162,2017,K,0,Y,177,161,164,162
1011,943098,2017,1st,0,N,126,197,181,172
1032,294435,2017,3rd,1,N,185,156,147,131
1032,267498,2017,4th,0,Y,162,132,130,130
1025,940688,2017,1st,0,N,133,235,164,147
1031,937173,2017,K,1,N,,,167,130
1018,362760,2017,3rd,0,Y,,,143,140
1016,783472,2017,2nd,1,Y,123,221,179,169
1016,914338,2017,K,0,Y,144,226,176,131
1011,682548,2017,3rd,0,N,152,174,163,136
1015,401995,2017,3rd,0,N,,,142,128
1016,315568,2017,2nd,1,N,,,153,141
1047,292183,2017,1st,1,N,174,204,182,152
1029,256705,2017,2nd,0,N,175,173,168,132
1018,915878,2017,K,1,Y,215,189,171,139
1016,750465,2017,2nd,0,N,185,239,164,136
1029,943362,2017,1st,0,Y,113,153,144,130
1024,946004,2017,1st,1,N,125,175,147,146
1015,162944,2017,3rd,1,N,180,207,173,145
1010,944093,2017,1st,0,N,173,139,182,165
1019,946778,2017,1st,0,Y,129,216,161,145
1019,940512,2017,1st,1,N,138,215,146,136
1029,412840,2017,3rd,1,N,191,232,178,155
1031,946879,2017,1st,0,N,195,152,181,157
1016,938669,2017,K,1,N,189,221,168,162
1024,193990,2017,1st,1,N,,,172,129
1024,687715,2017,4th,0,N,201,140,163,158
1031,944504,2017,1st,0,N,165,142,146,141
1021,331652,2017,1st,0,N,186,236,173,169
1025,435503,2017,2nd,0,N,180,184,161,153
1014,687982,2017,3rd,1,N,157,230,160,131
1018,367037,2017,2nd,0,Y,,,177,140
1019,447192,2017,4th,0,N,189,222,170,166
1026,291865,2017,3rd,1,N,123,176,153,128
1014,123751,2017,4th,0,Y,173,139,146,138
1022,886273,2017,1st,0,N,157,170,153,152
1011,930700,2017,K,0,Y,151,176,148,134
1022,175994,2017,4th,1,N,209,235,179,151
1019,944787,2017,1st,1,N,197,147,152,130
1029,616802,2017,4th,0,N,120,133,170,146
1029,132766,2017,3rd,0,Y,182,151,176,173
1014,932841,2017,K,1,Y,129,195,178,159
1032,770407,2017,2nd,1,Y,207,220,177,169
1020,930295,2017,K,0,N,,,159,142
1021,600472,2017,2nd,1,Y,170,180,150,135
1032,943308,2017,1st,0,N,202,168,177,177
1016,764446,2017,2nd,0,N,197,209,178,171
1014,657419,2017,4th,1,Y,160,192,180,138
1026,867235,2017,4th,0,N,207,159,174,174
1016,316070,2017,3rd,1,Y,,,180,163
1015,505157,2017,3rd,0,N,178,208,139,130
1019,656781,2017,3rd,0,N,135,138,175,153
1011,592182,2017,3rd,1,N,159,198,179,136
1032,933430,2017,K,1,Y,,,153,129
1020,514104,2017,2nd,0,N,157,165,172,162
1010,513941,2017,2nd,1,N,162,204,181,167
1025,404700,2017,3rd,0,N,,,149,138
1012,760564,2017,2nd,0,Y,132,184,140,135
1014,940944,2017,1st,0,N,125,170,149,145
1022,204995,2017,4th,0,Y,126,197,172,145
1014,304604,2017,4th,0,N,184,176,178,175
1015,807656,2017,3rd,0,N,163,188,182,168
1015,883292,2017,1st,0,N,124,172,179,150
1027,949897,2017,1st,0,Y,186,239,145,135
1022,319111,2017,3rd,0,N,,,173,139
1026,498523,2017,4th,0,N,207,159,174,174
1016,278166,2017,3rd,0,N,172,234,162,160
1029,939218,2017,K,0,Y,123,163,180,129
1023,931475,2017,K,0,Y,,,158,138
1019,878995,2017,3rd,1,Y,213,231,163,147
1034,933119,2017,K,0,N,154,192,137,130
1017,320712,2017,1st,1,Y,,,182,136
1032,919950,2017,K,1,N,196,198,177,148
1011,570521,2017,2nd,0,N,172,177,165,158
1016,651380,2017,2nd,0,N,191,160,176,150
1015,640088,2017,2nd,0,N,208,195,149,133
1027,917509,2017,K,0,N,180,182,136,134
1012,287288,2017,2nd,0,N,166,206,178,157
1028,663869,2017,3rd,0,N,194,182,177,162
1030,930522,2017,K,0,Y,158,217,160,157
1015,293198,2017,3rd,0,N,172,134,165,150
1026,593789,2017,2nd,0,Y,189,184,144,142
1025,612319,2017,4th,1,N,187,212,160,140
1013,282291,2017,4th,1,N,214,182,152,142
1010,878672,2017,2nd,0,N,174,166,178,162
1017,565554,2017,4th,0,Y,122,207,159,133
1030,889591,2017,1st,0,N,,,169,136
1018,132213,2017,4th,0,Y,213,158,174,157
1016,896561,2017,2nd,1,Y,123,221,179,169
1030,419193,2017,2nd,0,N,183,219,169,138
1028,945384,2017,1st,0,N,134,215,182,153
1027,867697,2017,2nd,1,Y,198,215,170,159
1018,664520,2017,1st,0,N,212,176,142,138
1010,854392,2017,3rd,1,Y,144,186,168,166
1012,574719,2017,4th,1,Y,157,199,152,140
1027,666674,2017,1st,0,N,180,182,136,134
1028,935787,2017,K,0,N,175,152,132,130
1027,725018,2017,2nd,1,N,170,135,153,151
1037,944120,2017,1st,1,Y,160,181,152,136
1042,171439,2017,2nd,1,N,176,167,170,154
1010,507656,2017,4th,1,N,214,150,130,128
1030,939565,2017,K,0,Y,141,167,158,133
1018,939893,2017,K,0,N,,,177,148
1030,944545,2017,1st,0,N,198,240,180,176
1013,698182,2017,2nd,0,N,199,163,151,146
1018,895246,2017,4th,0,N,128,216,149,137
1010,504755,2017,4th,0,N,151,136,169,158
1014,566228,2017,2nd,0,Y,138,176,182,142
1016,771602,2017,3rd,1,N,153,217,164,154
1024,883444,2017,2nd,0,Y,184,170,181,163
1019,725142,2017,2nd,0,Y,135,193,173,130
1012,461915,2017,3rd,1,Y,123,149,177,168
1037,930449,2017,K,0,N,175,152,174,161
1017,183445,2017,3rd,0,N,167,212,181,168
1013,480159,2017,2nd,1,N,163,194,172,133
1042,324531,2017,1st,0,Y,170,141,152,132
1019,938455,2017,K,0,N,172,176,142,142
1019,373524,2017,3rd,1,N,,,173,136
1014,452603,2017,4th,0,Y,207,212,182,155
1011,551659,2017,2nd,0,N,173,181,164,129
1016,937913,2017,K,0,N,,,160,137
1014,278287,2017,4th,1,Y,215,161,177,143
1028,941207,2017,1st,1,N,206,148,162,148
1030,556478,2017,2nd,1,Y,178,216,146,144
1013,940758,2017,1st,1,N,201,231,166,130
1018,946226,2017,1st,1,Y,129,141,180,162
1016,933147,2017,K,0,N,136,137,166,136
1023,641783,2017,3rd,1,N,190,191,165,153
1022,275472,2017,4th,0,N,129,131,178,143
1011,751252,2017,3rd,0,N,207,154,161,144
1026,930443,2017,K,1,Y,,,179,158
1025,171855,2017,3rd,1,N,201,181,169,164
1039,172986,2017,3rd,1,N,191,167,177,170
1022,935845,2017,K,1,N,184,227,172,167
1023,411851,2017,2nd,0,Y,169,189,148,128
1037,518398,2017,1st,0,N,130,238,163,136
1020,930495,2017,K,0,N,161,200,176,135
1031,709933,2017,2nd,0,N,165,142,146,141
1014,461358,2017,2nd,0,N,185,183,167,165
1026,628694,2017,4th,0,Y,120,137,177,129
1032,728601,2017,4th,1,N,140,131,178,140
1029,887521,2017,2nd,1,N,155,196,150,128
1014,932213,2017,K,0,Y,207,212,182,155
1027,941294,2017,1st,0,N,122,238,177,152
1015,949662,2017,1st,0,N,163,188,182,168
1010,788999,2017,3rd,0,N,173,139,182,165
1022,934459,2017,K,1,Y,214,193,173,147
1016,786804,2017,3rd,1,Y,146,184,173,160
1011,940155,2017,1st,0,N,162,144,144,134
1021,933974,2017,K,0,N,186,236,173,169
1017,945603,2017,1st,0,N,144,237,181,131
1033,289881,2017,3rd,1,N,202,176,132,130
1010,509887,2017,3rd,0,N,191,146,180,149
1026,290428,2017,1st,1,Y,213,236,160,142
1032,177130,2017,2nd,0,N,142,207,169,134
1020,811811,2017,3rd,0,N,176,234,169,168
1023,280082,2017,4th,0,Y,212,176,161,128
1024,915465,2017,K,0,N,143,159,165,132
1030,852653,2017,K,0,N,208,187,164,155
1032,931302,2017,K,1,N,,,177,165
1026,217008,2017,3rd,0,N,166,226,142,141
1015,930285,2017,K,0,Y,,,169,130
1016,670339,2017,3rd,0,Y,144,226,176,131
1012,935918,2017,K,1,Y,123,149,177,168
1027,888713,2017,3rd,0,N,123,237,177,150
1029,650753,2017,3rd,0,N,176,166,155,149
1026,913603,2017,K,0,N,166,143,163,150
1032,166154,2017,2nd,1,N,190,149,178,129
1016,698624,2017,3rd,1,N,128,212,176,129
1030,892284,2017,2nd,1,N,180,161,180,180
1044,874894,2017,1st,1,N,,,150,136
1010,943094,2017,1st,1,N,190,165,163,157
1010,237602,2017,2nd,0,Y,211,183,174,147
1017,467665,2017,4th,0,N,172,158,178,161
1029,425189,2017,4th,1,N,147,215,168,160
1018,937752,2017,K,0,N,177,172,181,150
1021,942609,2017,1st,1,Y,153,219,180,152
1010,563624,2017,4th,0,N,212,154,161,154
1032,154528,2017,2nd,1,Y,133,182,156,128
1030,158851,2017,3rd,1,Y,141,229,164,129
1029,917137,2017,K,1,N,131,154,157,139
1021,867656,2017,4th,1,N,144,181,175,131
1023,914203,2017,K,1,N,190,191,165,153
1022,257239,2017,2nd,1,Y,153,217,167,152
1030,343262,2017,3rd,1,N,121,237,180,137
1022,191828,2017,2nd,0,Y,,,166,136
1012,746023,2017,2nd,0,N,177,145,157,136
1034,883495,2017,1st,1,N,193,240,165,160
1023,764937,2017,3rd,0,N,154,166,156,153
1011,492495,2017,3rd,0,Y,151,176,148,134
1049,947189,2017,1st,0,N,197,214,171,131
1031,656265,2017,4th,0,Y,201,218,156,136
1029,242742,2017,3rd,0,Y,138,235,169,150
1013,947732,2017,1st,1,N,179,224,153,151
1014,783527,2017,1st,0,Y,122,235,182,139
1058,943678,2017,1st,0,N,139,151,148,129
1031,942535,2017,1st,1,N,212,213,172,167
1024,892389,2017,3rd,1,N,194,233,173,150
1013,918098,2017,K,1,N,172,170,150,136
1017,696076,2017,2nd,0,N,169,132,146,140
1029,541475,2017,2nd,1,Y,211,189,149,142
1049,154980,2017,2nd,0,N,122,230,167,165
1035,507877,2017,3rd,1,N,198,173,179,149
1030,308182,2017,3rd,1,N,193,131,168,134
1013,918447,2017,K,0,N,158,137,138,131
1023,612257,2017,4th,1,N,201,210,176,150
1023,937406,2017,K,1,Y,215,132,181,144
1021,324801,2017,2nd,1,N,146,176,177,133
1030,369278,2017,3rd,0,N,,,179,148
1031,669856,2017,4th,1,N,123,162,174,157
1018,752941,2017,2nd,1,N,163,204,181,154
1057,192941,2017,2nd,0,N,,,142,135
1015,657523,2017,3rd,1,N,203,180,177,141
1015,944033,2017,1st,0,N,195,145,182,148
1034,665636,2017,3rd,1,N,178,201,181,176
1016,949188,2017,1st,1,N,151,190,150,128
1018,895098,2017,3rd,0,N,209,228,173,158
1031,751689,2017,4th,1,N,212,213,172,167
1039,741335,2017,3rd,0,N,193,240,176,167
1029,869415,2017,3rd,0,N,,,167,158
1017,356036,2017,4th,0,N,,,176,130
1016,265284,2017,2nd,0,Y,123,171,139,137
1038,852137,2017,4th,0,Y,215,203,172,138
1015,918326,2017,K,0,N,190,151,173,140
1021,584009,2017,4th,1,Y,139,219,145,140
1025,914127,2017,K,0,N,161,140,152,152
1021,779746,2017,4th,1,N,144,181,175,131
1010,197884,2017,3rd,1,N,,,176,171
1028,216587,2017,2nd,0,Y,139,204,179,167
1048,859724,2017,4th,0,N,157,153,161,150
1018,877224,2017,3rd,0,N,145,144,169,154
1021,942395,2017,1st,1,Y,207,229,180,146
1019,747715,2017,4th,0,Y,147,230,156,154
1030,859801,2017,3rd,0,Y,137,169,157,142
1019,878626,2017,3rd,1,N,,,182,128
1023,938188,2017,K,0,Y,164,163,172,151
1015,933999,2017,K,0,N,197,219,177,153
1023,947498,2017,1st,1,Y,126,198,139,135
1018,945474,2017,1st,0,N,127,229,173,131
1016,946767,2017,1st,1,N,191,157,165,149
1028,941801,2017,1st,1,N,206,148,162,148
1030,639784,2017,1st,0,Y,166,214,149,130
1016,947568,2017,1st,1,N,128,212,176,129
1029,879610,2017,2nd,1,N,208,154,148,135
1023,265809,2017,3rd,0,Y,174,181,181,169
1030,501500,2017,3rd,0,Y,137,169,157,142
1018,792004,2017,4th,1,N,206,166,155,134
1014,932752,2017,K,0,N,211,215,180,160
1032,122127,2017,1st,1,N,169,204,161,143
1030,444453,2017,2nd,0,Y,162,204,178,151
1023,217845,2017,4th,0,N,147,192,158,130
1018,205642,2017,4th,0,N,184,199,171,154
1030,751368,2017,3rd,0,N,198,240,180,176
1024,938113,2017,K,1,N,144,210,179,161
