school_id,student_id,sch_yr,grade,enrolled,attended,F/R.Lunch,ell,reading,math
1032,294435,2016,2nd,135,133,1,N,169,214
1032,130284,2016,1st,143,142,1,N,240,180
1012,317437,2016,1st,153,135,0,N,230,215
1024,925625,2016,K,134,131,1,N,125,177
1011,570521,2016,1st,176,163,0,N,141,215
1022,928451,2016,K,156,146,0,N,124,149
1010,632813,2016,2nd,161,146,0,Y,236,196
1032,837748,2016,K,159,143,0,N,143,151
1029,192941,2016,2nd,168,130,1,N,199,198
1035,564153,2016,2nd,178,152,1,Y,122,209
1014,904425,2016,K,153,149,1,N,203,193
1014,134826,2016,1st,179,144,1,N,222,115
1010,463183,2016,2nd,173,135,0,N,223,217
1052,921780,2016,K,170,137,1,Y,224,196
1018,798626,2016,1st,177,157,1,Y,208,138
1015,640088,2016,1st,159,135,1,Y,144,138
1030,413660,2016,2nd,178,152,1,N,,
1021,734124,2016,3rd,180,144,0,N,,
1029,438912,2016,1st,144,141,1,N,211,129
1038,222931,2016,2nd,176,145,0,N,215,199
1013,817603,2016,3rd,163,147,1,N,145,159
1026,466484,2016,3rd,141,130,1,N,236,117
1023,835976,2016,1st,166,146,1,N,,
1023,789047,2016,1st,172,171,0,N,157,145
1019,695585,2016,2nd,164,162,0,N,194,196
1025,440273,2016,1st,168,164,0,N,124,149
1028,636519,2016,2nd,174,171,0,N,133,212
1028,213326,2016,3rd,132,129,0,N,168,172
1042,826870,2016,3rd,165,140,0,N,,
1027,780438,2016,1st,179,135,1,N,129,115
1026,468999,2016,2nd,166,154,1,N,189,190
1029,536126,2016,1st,162,131,1,N,136,166
1023,280082,2016,3rd,155,128,1,Y,197,139
1028,589059,2016,2nd,178,167,0,N,230,168
1011,761955,2016,1st,160,132,1,N,150,138
1021,924332,2016,K,177,170,1,Y,172,133
1015,335042,2016,K,140,134,1,Y,146,195
1024,562797,2016,1st,168,142,0,N,123,112
1023,209150,2016,2nd,182,160,1,N,183,137
1043,920409,2016,K,159,137,1,N,133,215
1027,666674,2016,K,177,150,1,N,213,206
1026,926834,2016,K,178,173,1,N,,
1014,657419,2016,3rd,178,151,1,N,166,186
1024,329775,2016,3rd,179,152,0,N,160,130
1041,650298,2016,1st,172,138,0,N,156,136
1032,264810,2016,2nd,164,131,0,N,138,118
1028,929075,2016,K,169,149,0,Y,158,209
1032,772170,2016,1st,182,137,0,Y,160,132
1016,278166,2016,2nd,182,177,1,N,173,146
1038,609408,2016,1st,147,130,1,N,234,178
1030,928750,2016,K,162,130,1,N,191,145
1016,350761,2016,3rd,177,167,0,N,149,157
1027,924763,2016,K,158,132,0,N,125,211
1031,407989,2016,2nd,179,175,1,Y,231,216
1030,640082,2016,1st,162,131,0,Y,158,188
1029,926134,2016,K,168,138,0,N,152,178
1011,697838,2016,K,163,151,0,N,163,179
1014,687982,2016,2nd,132,130,0,Y,139,111
1011,673395,2016,3rd,132,130,0,N,195,140
1029,131585,2016,2nd,171,160,1,N,201,208
1029,356203,2016,1st,154,131,0,N,227,191
1032,432464,2016,3rd,175,157,0,N,133,124
1028,415142,2016,2nd,176,153,0,N,,
1022,243527,2016,1st,178,168,0,Y,216,217
1030,920499,2016,K,177,169,0,N,159,142
1012,563298,2016,1st,152,133,0,N,152,145
1027,537256,2016,3rd,139,129,0,N,146,199
1025,843716,2016,1st,165,134,1,N,205,220
1018,929296,2016,K,180,136,0,N,,
1012,552670,2016,1st,153,129,0,N,216,137
1022,928605,2016,K,157,154,0,Y,190,115
1030,191290,2016,1st,159,129,0,N,170,170
1022,643038,2016,3rd,166,131,1,N,131,196
1029,923162,2016,K,167,158,0,N,,
1015,345555,2016,2nd,181,156,1,N,197,204
1031,819761,2016,3rd,164,157,1,N,,
1024,575443,2016,1st,134,131,1,N,125,177
1012,405148,2016,3rd,141,139,1,N,196,146
1026,148841,2016,2nd,147,141,0,Y,171,211
1016,529013,2016,3rd,177,158,0,N,173,206
1023,836502,2016,2nd,181,131,0,N,131,178
1019,531987,2016,2nd,170,166,0,N,225,181
1023,206624,2016,2nd,166,151,1,Y,174,200
1017,679449,2016,1st,181,163,0,N,187,121
1027,325270,2016,3rd,173,163,0,Y,239,178
1018,921451,2016,K,160,139,0,Y,,
1024,583509,2016,1st,140,140,0,N,192,189
1019,212804,2016,2nd,181,169,0,N,179,204
1020,146371,2016,1st,175,135,0,Y,224,126
1028,696722,2016,2nd,180,143,0,N,146,137
1012,760564,2016,1st,155,130,0,Y,156,125
1011,751794,2016,3rd,170,143,0,N,215,155
1011,830469,2016,1st,147,146,0,Y,,
1025,902803,2016,K,138,128,1,N,161,200
1026,549769,2016,1st,169,164,0,N,154,155
1010,788999,2016,2nd,154,129,1,N,140,184
1022,831311,2016,1st,134,130,0,N,156,191
1025,923655,2016,K,163,136,0,Y,160,115
1027,579194,2016,2nd,180,137,0,N,198,190
1021,409056,2016,1st,165,147,0,Y,213,158
1016,637030,2016,1st,152,145,0,N,167,154
1022,927051,2016,K,169,131,0,N,233,201
1019,325207,2016,1st,162,144,0,N,232,205
1031,288218,2016,3rd,133,129,0,N,167,178
1032,677558,2016,2nd,182,135,1,N,205,111
1028,814998,2016,2nd,156,140,1,Y,228,189
1013,785369,2016,K,167,155,1,N,208,212
1025,928237,2016,K,178,139,1,N,233,186
1039,252128,2016,2nd,178,128,1,N,223,194
1018,205642,2016,3rd,172,144,0,N,162,216
1022,223983,2016,2nd,174,132,1,Y,173,174
1013,927809,2016,K,178,172,1,N,147,124
1028,927977,2016,K,137,128,0,N,149,164
1031,926558,2016,K,156,139,1,N,212,136
1030,424618,2016,1st,169,136,0,N,,
1032,381523,2016,2nd,173,162,0,N,200,182
1018,433286,2016,3rd,160,142,0,N,212,125
1030,308182,2016,2nd,165,159,0,N,134,161
1020,631947,2016,3rd,161,131,1,Y,230,115
1018,672149,2016,3rd,181,137,1,Y,212,182
1022,929594,2016,K,178,158,1,Y,128,179
1013,929247,2016,K,170,163,0,N,157,170
1019,927621,2016,K,170,170,0,N,216,148
1017,711887,2016,3rd,145,141,0,N,225,137
1023,365985,2016,2nd,156,142,1,N,211,116
1021,588909,2016,2nd,178,148,0,N,207,163
1033,414787,2016,3rd,168,129,0,N,,
1034,834272,2016,1st,177,172,0,N,,
1024,168867,2016,2nd,170,131,0,N,198,206
1012,606861,2016,3rd,145,145,0,N,209,214
1030,748502,2016,2nd,153,141,0,Y,218,175
1019,903532,2016,K,180,156,0,Y,182,111
1013,187379,2016,2nd,175,157,0,Y,218,209
1018,838940,2016,1st,164,138,1,Y,233,124
1030,758800,2016,1st,159,153,0,N,142,143
1030,151388,2016,1st,180,174,1,N,238,174
1020,832066,2016,3rd,165,159,0,N,,
1027,812520,2016,2nd,168,148,1,N,167,176
1018,664520,2016,K,177,149,1,N,129,211
1023,925108,2016,K,170,142,0,N,161,206
1025,755198,2016,1st,181,175,0,Y,149,199
1032,929530,2016,K,179,135,1,Y,215,138
1025,846497,2016,2nd,165,142,0,N,,
1039,558200,2016,2nd,167,144,1,N,152,133
1013,134656,2016,2nd,167,150,1,Y,133,205
1015,441788,2016,1st,172,140,1,Y,188,139
1027,923358,2016,K,180,152,0,N,170,148
1016,757790,2016,1st,156,129,0,N,229,168
1025,732431,2016,K,150,136,1,N,,
1026,683239,2016,2nd,173,155,1,N,214,188
1011,579509,2016,3rd,182,145,0,Y,226,184
1023,367182,2016,2nd,181,131,0,N,131,178
1026,926121,2016,K,175,165,0,N,140,219
1023,612257,2016,3rd,154,139,0,N,147,192
1015,754475,2016,3rd,177,134,0,Y,135,181
1019,929135,2016,K,171,158,0,N,122,139
1014,922550,2016,K,164,154,1,Y,212,183
1052,907149,2016,K,170,137,1,Y,224,196
1035,336317,2016,1st,145,138,0,N,186,186
1045,922279,2016,K,177,154,0,N,,
1027,841118,2016,1st,179,135,1,N,129,115
1017,696076,2016,1st,179,174,0,Y,167,132
1026,515855,2016,2nd,157,149,1,N,169,151
1010,784665,2016,1st,144,139,0,Y,132,181
1016,771602,2016,2nd,175,142,0,N,175,143
1029,295640,2016,1st,151,134,0,N,126,138
1030,264304,2016,3rd,180,157,1,N,209,150
1011,736989,2016,2nd,148,138,0,N,,
1022,482554,2016,3rd,157,154,0,Y,190,115
1024,923056,2016,K,167,157,0,N,168,121
1029,908511,2016,K,179,159,0,Y,156,212
1018,407411,2016,1st,172,158,0,N,132,204
1018,417255,2016,1st,178,164,0,N,,
1024,925235,2016,K,164,153,0,Y,235,134
1025,928904,2016,K,168,164,0,N,124,149
1010,563624,2016,3rd,168,146,0,N,221,154
1010,924538,2016,K,154,134,0,N,139,123
1010,630496,2016,1st,177,151,1,N,222,208
1021,827904,2016,2nd,173,140,0,N,,
1014,901756,2016,K,167,131,1,N,214,216
1014,925963,2016,K,153,149,1,N,203,193
1016,746424,2016,2nd,172,171,0,Y,234,149
1015,287288,2016,1st,159,133,0,N,123,192
1017,824043,2016,3rd,172,169,0,N,,
1014,774093,2016,2nd,153,139,1,N,168,146
1028,831687,2016,1st,165,138,0,N,228,212
1030,836406,2016,1st,169,136,0,N,,
1023,838835,2016,3rd,163,156,0,N,,
1010,784524,2016,2nd,160,153,1,Y,191,220
1022,559349,2016,3rd,162,144,0,N,218,144
1014,904691,2016,K,180,173,1,Y,214,213
1014,312248,2016,3rd,182,179,1,Y,197,156
1017,207054,2016,2nd,143,128,0,N,123,201
1015,825845,2016,2nd,169,158,0,N,206,194
1028,225652,2016,3rd,172,137,1,N,188,114
1027,336261,2016,1st,144,132,1,N,225,187
1044,906966,2016,K,169,151,0,N,120,113
1021,735501,2016,1st,175,157,0,Y,,
1019,431010,2016,1st,135,132,0,N,124,146
1021,232204,2016,2nd,171,130,1,N,187,132
1014,593549,2016,1st,168,140,0,Y,178,165
1026,593789,2016,1st,174,148,0,N,212,190
1025,397967,2016,2nd,156,132,0,N,180,135
1052,838489,2016,3rd,181,169,0,N,164,150
1030,426994,2016,3rd,157,143,1,Y,,
1017,479739,2016,3rd,171,158,0,N,193,158
1026,923770,2016,K,173,135,0,N,136,127
1022,414993,2016,3rd,180,169,0,N,,
1011,751252,2016,2nd,155,154,0,N,163,170
1018,132213,2016,3rd,173,158,0,N,228,209
1025,847856,2016,1st,152,146,0,N,,
1028,508687,2016,1st,179,178,0,N,201,123
1025,902904,2016,K,163,136,0,Y,160,115
1018,805875,2016,1st,164,138,1,Y,233,124
1026,821330,2016,2nd,145,144,1,N,,
1029,670339,2016,2nd,164,158,0,N,163,145
1014,455536,2016,1st,180,173,1,Y,214,213
1020,846341,2016,2nd,143,129,1,N,161,146
1011,760240,2016,2nd,177,142,0,N,175,133
1029,242742,2016,2nd,150,128,1,N,196,155
1016,922217,2016,K,173,172,0,N,236,119
1028,322814,2016,1st,175,135,1,N,209,148
1012,929871,2016,K,156,141,1,N,235,163
1013,921153,2016,K,150,138,0,N,168,216
1010,928428,2016,K,172,143,0,N,,
1013,819757,2016,2nd,180,167,1,Y,141,168
1019,307501,2016,2nd,149,148,1,Y,124,201
1020,428443,2016,2nd,158,144,1,N,,
1018,130627,2016,1st,166,156,0,N,225,174
1013,901638,2016,K,170,163,0,N,157,170
1021,843671,2016,3rd,180,144,0,N,,
1030,343262,2016,2nd,160,154,0,N,158,200
1013,649967,2016,3rd,157,130,1,N,157,119
1027,772194,2016,2nd,167,155,1,N,220,208
1029,667327,2016,1st,173,148,0,Y,168,158
1025,245926,2016,1st,166,142,1,Y,143,196
1014,819741,2016,2nd,165,162,0,N,200,126
1013,681509,2016,2nd,178,150,0,N,135,154
1017,383063,2016,3rd,178,174,0,N,213,181
1031,923722,2016,K,175,169,1,N,222,147
1022,557545,2016,1st,156,137,0,N,145,191
1026,419193,2016,1st,178,173,1,N,,
1024,928455,2016,K,148,144,1,N,227,210
1030,920746,2016,K,167,165,0,Y,136,207
1039,663629,2016,2nd,179,169,0,N,236,211
1013,599608,2016,2nd,173,156,1,N,200,157
1025,608191,2016,1st,148,146,1,N,239,135
1010,269102,2016,2nd,161,152,0,Y,224,209
1010,226457,2016,1st,152,134,1,N,199,192
1029,803593,2016,3rd,143,142,0,Y,143,195
1027,357604,2016,2nd,142,134,1,N,136,124
1031,845858,2016,2nd,180,145,1,Y,200,147
1015,170858,2016,3rd,180,177,1,Y,205,127
1025,804632,2016,3rd,174,169,1,N,223,207
1030,120786,2016,2nd,146,137,1,N,223,213
1031,809778,2016,1st,157,155,0,Y,137,111
1021,550510,2016,2nd,171,168,1,N,185,191
1022,909761,2016,K,157,154,0,Y,190,115
1021,712813,2016,1st,172,154,0,N,189,117
1020,358211,2016,1st,139,133,0,N,221,193
1015,505157,2016,2nd,158,135,1,N,165,181
1018,848182,2016,3rd,163,150,0,N,,
1017,926651,2016,K,160,137,0,N,,
1040,501739,2016,3rd,141,133,1,N,203,118
1044,923570,2016,K,169,151,0,N,120,113
1026,925156,2016,K,174,148,0,N,212,190
1032,922043,2016,K,169,137,0,N,165,111
1017,728204,2016,3rd,172,169,0,N,,
1018,424449,2016,2nd,180,136,0,N,,
1027,928440,2016,K,175,155,0,N,235,131
1013,622526,2016,2nd,171,165,0,N,148,146
1027,504321,2016,3rd,158,132,0,N,125,211
1011,557225,2016,2nd,175,154,1,N,204,163
1013,900630,2016,K,150,138,0,N,168,216
1021,638208,2016,2nd,176,129,0,Y,140,121
1025,921522,2016,K,136,134,1,N,218,195
1018,832645,2016,1st,157,136,0,N,168,121
1025,731540,2016,3rd,181,157,0,N,,
1016,741785,2016,1st,148,144,0,N,178,119
1030,823368,2016,2nd,132,132,1,Y,,
1021,929904,2016,K,178,148,0,N,207,163
1011,920673,2016,K,175,154,1,N,204,163
1024,569364,2016,2nd,167,157,0,N,168,121
1017,439443,2016,3rd,166,135,1,N,192,156
1028,120671,2016,2nd,178,169,1,N,234,213
1021,779746,2016,3rd,180,164,0,Y,222,113
1030,901210,2016,K,145,139,1,Y,134,131
1027,902256,2016,K,180,152,0,N,170,148
1025,550200,2016,3rd,169,163,1,Y,191,194
1029,821845,2016,3rd,177,142,0,N,139,205
1017,256056,2016,2nd,164,144,0,N,229,156
1028,168800,2016,1st,177,156,0,N,232,165
1025,924057,2016,K,155,139,0,N,125,198
1016,698624,2016,2nd,162,133,0,N,168,165
1011,208234,2016,3rd,171,156,0,N,223,198
1015,832725,2016,2nd,142,141,0,N,180,125
1027,498751,2016,1st,180,152,0,N,170,148
1020,777557,2016,3rd,169,140,0,N,231,177
1016,147215,2016,2nd,174,170,0,Y,128,184
1018,921487,2016,K,144,137,0,N,126,136
1040,925186,2016,K,141,133,1,N,203,118
1017,923580,2016,K,154,150,0,Y,123,163
1017,922012,2016,K,166,135,1,N,192,156
1010,923711,2016,K,173,135,0,N,223,217
1025,312606,2016,3rd,147,134,0,N,136,121
1013,230209,2016,3rd,168,141,0,N,175,190
1025,820913,2016,2nd,156,132,0,N,180,135
1027,572614,2016,1st,175,155,0,N,235,131
1030,750465,2016,1st,169,151,1,N,153,154
1012,574719,2016,3rd,169,164,0,N,138,173
1011,425880,2016,1st,147,146,0,Y,,
1019,925765,2016,K,170,166,0,N,225,181
1010,925599,2016,K,136,130,0,N,135,123
1017,836235,2016,3rd,178,159,0,N,211,180
1019,431527,2016,3rd,174,162,0,N,129,117
1024,591124,2016,3rd,178,178,0,N,204,125
1014,835297,2016,2nd,153,139,1,N,168,146
1014,676607,2016,2nd,156,132,0,N,198,143
1032,326377,2016,3rd,167,132,1,N,221,182
1030,321026,2016,3rd,145,134,1,N,126,143
1010,124660,2016,2nd,167,161,0,N,127,169
1016,253033,2016,2nd,142,140,1,N,220,125
1031,302414,2016,1st,181,135,1,N,160,138
1022,366400,2016,2nd,157,144,0,N,124,135
1028,780420,2016,2nd,149,148,1,N,147,207
1026,350206,2016,3rd,159,156,0,N,197,197
1015,785596,2016,3rd,153,128,0,N,120,128
1021,928587,2016,K,171,168,1,N,185,191
1032,600200,2016,3rd,175,156,0,N,124,152
1031,572129,2016,3rd,164,153,1,Y,175,188
1032,920289,2016,K,175,157,0,N,133,124
1014,907271,2016,K,153,148,1,N,190,208
1012,605389,2016,1st,166,155,1,N,153,111
1029,132766,2016,2nd,157,148,0,N,123,122
1032,779309,2016,1st,149,144,0,N,159,190
1018,927497,2016,K,149,146,0,N,151,147
1018,824365,2016,1st,157,140,0,N,221,207
1032,186804,2016,3rd,170,167,1,N,165,195
1047,826063,2016,1st,154,131,0,N,233,117
1011,686753,2016,1st,164,162,0,N,211,189
1017,603066,2016,1st,154,150,0,Y,123,163
1026,698182,2016,1st,151,142,1,N,136,145
1025,149313,2016,K,180,140,0,N,153,191
1014,497706,2016,3rd,153,149,1,N,203,193
1011,923136,2016,K,147,146,0,Y,,
1022,825062,2016,3rd,166,132,1,N,132,113
1022,311939,2016,3rd,179,146,0,N,179,184
1023,346096,2016,3rd,182,169,1,N,155,178
1015,929082,2016,K,182,164,0,Y,227,155
1028,544513,2016,2nd,169,149,0,Y,158,209
1011,813971,2016,2nd,173,144,0,N,213,157
1022,924335,2016,K,155,132,1,N,124,157
1023,652880,2016,3rd,182,177,0,Y,187,209
1012,502594,2016,3rd,159,138,1,N,166,199
1029,821889,2016,3rd,167,158,0,N,,
1026,838113,2016,1st,178,173,1,N,,
1029,425189,2016,3rd,167,158,0,N,,
1030,432899,2016,2nd,151,137,1,N,153,154
1026,498920,2016,1st,175,165,0,N,140,219
1038,596378,2016,2nd,177,174,0,N,168,172
1031,831818,2016,1st,141,128,1,Y,222,213
1016,921038,2016,K,155,135,1,Y,167,198
1031,920221,2016,K,143,143,1,Y,180,198
1028,433000,2016,2nd,137,128,0,N,149,164
1029,303511,2016,3rd,156,135,0,N,155,186
1026,830297,2016,1st,145,144,0,N,203,113
1014,566228,2016,1st,179,151,0,N,121,182
1023,926471,2016,K,154,139,0,N,147,192
1014,723906,2016,1st,163,138,1,N,,
1025,797668,2016,2nd,163,159,0,Y,180,128
1026,643579,2016,1st,175,135,0,N,231,204
1016,265284,2016,1st,134,133,0,N,240,147
1017,217171,2016,1st,160,148,1,N,201,136
1026,604640,2016,3rd,167,134,0,N,221,136
1014,668553,2016,2nd,172,136,1,N,226,120
1010,923959,2016,K,134,132,1,N,204,128
1028,379614,2016,3rd,146,143,1,N,131,121
1025,474147,2016,3rd,163,136,0,Y,160,115
1029,661147,2016,3rd,178,133,1,N,212,139
1011,229829,2016,2nd,145,131,0,Y,200,113
1019,376346,2016,1st,171,166,1,N,164,110
1032,372133,2016,3rd,158,131,1,N,133,167
1016,675876,2016,1st,175,142,0,Y,163,164
1010,926231,2016,K,153,148,1,N,194,121
1029,675090,2016,3rd,147,130,0,N,154,137
1025,350203,2016,3rd,169,155,1,Y,225,199
1021,742126,2016,2nd,158,128,0,Y,214,116
1013,404700,2016,2nd,166,139,0,N,195,136
1042,330023,2016,2nd,170,128,0,N,226,154
1025,834358,2016,1st,170,169,0,N,173,136
1019,373524,2016,2nd,158,143,1,Y,203,153
1010,545465,2016,2nd,165,157,1,Y,201,181
1024,924242,2016,K,175,158,1,N,221,206
1015,339073,2016,3rd,158,134,1,N,146,210
1027,746779,2016,2nd,175,134,0,N,236,169
1026,631157,2016,3rd,181,178,1,N,163,168
1022,920737,2016,K,151,146,0,N,188,208
1031,801336,2016,3rd,174,158,1,Y,206,129
1025,846539,2016,3rd,164,164,0,N,,
1029,926285,2016,K,166,162,1,Y,,
1027,137699,2016,1st,145,135,0,Y,239,186
1028,841017,2016,3rd,165,145,0,N,187,119
1021,578241,2016,1st,151,140,0,N,171,172
1019,559804,2016,3rd,170,170,0,N,216,148
1031,607526,2016,3rd,170,170,0,N,154,150
1018,843004,2016,1st,158,153,1,N,232,187
1049,409684,2016,3rd,169,131,0,Y,147,156
1023,597369,2016,2nd,170,142,0,N,161,206
1012,789909,2016,2nd,168,129,0,Y,131,142
1028,345028,2016,2nd,178,128,0,Y,120,170
1022,121420,2016,1st,153,152,0,N,170,157
1019,927865,2016,K,174,173,1,Y,143,128
1020,384028,2016,2nd,164,146,0,N,223,116
1017,493888,2016,2nd,157,145,1,Y,217,166
1016,925304,2016,K,168,158,1,Y,216,144
1020,923402,2016,K,169,130,1,N,140,213
1012,577703,2016,3rd,156,141,1,N,235,163
1014,902519,2016,K,176,131,1,N,196,144
1024,327115,2016,2nd,178,169,1,N,127,123
1012,811811,2016,2nd,172,156,0,N,132,125
1013,626850,2016,2nd,165,136,1,N,230,172
1030,926595,2016,K,163,128,0,N,145,133
1020,326005,2016,3rd,144,130,0,N,155,173
1010,672179,2016,2nd,155,147,0,Y,155,172
1023,248827,2016,1st,152,146,1,Y,220,161
1022,601024,2016,1st,152,131,0,N,189,182
1016,318358,2016,2nd,175,172,1,N,238,179
1020,902360,2016,K,174,164,0,Y,208,214
1030,924135,2016,K,169,136,0,N,,
1012,316386,2016,2nd,182,174,0,N,197,184
1013,382022,2016,2nd,180,131,0,N,212,156
1029,349497,2016,3rd,179,145,0,N,238,181
1033,576593,2016,1st,134,132,1,N,183,156
1024,399114,2016,2nd,154,140,1,Y,174,113
1026,291865,2016,2nd,160,142,0,N,240,158
1024,653540,2016,3rd,175,140,0,N,151,213
1013,821848,2016,2nd,180,131,0,N,212,156
1029,468307,2016,1st,168,166,0,N,140,170
1043,824855,2016,2nd,174,139,0,N,227,140
1015,293198,2016,2nd,166,134,0,Y,138,130
1024,544963,2016,1st,138,129,0,N,181,155
1024,675949,2016,3rd,175,133,0,Y,223,209
1027,151894,2016,3rd,175,144,0,N,195,172
1031,769717,2016,1st,164,134,1,Y,136,204
1027,840963,2016,1st,171,135,1,N,,
1010,594603,2016,3rd,168,128,1,Y,225,168
1011,774957,2016,2nd,176,176,0,N,184,118
1028,324531,2016,1st,161,144,0,N,170,171
1011,921233,2016,K,152,134,1,N,173,165
1028,536167,2016,2nd,173,167,1,N,210,139
1019,925635,2016,K,164,140,0,Y,,
1010,925751,2016,K,162,137,1,N,,
1023,923304,2016,K,169,131,1,N,163,130
1014,927491,2016,K,168,140,0,Y,178,165
1052,817937,2016,3rd,181,169,0,N,164,150
1010,212805,2016,3rd,174,167,1,N,161,216
1018,488234,2016,1st,149,128,1,N,133,211
1020,926182,2016,K,158,142,0,N,185,200
1013,261339,2016,K,167,138,0,Y,235,208
1013,214844,2016,2nd,142,139,0,N,132,194
1015,651518,2016,2nd,148,136,0,N,204,181
1019,834427,2016,2nd,181,174,1,N,,
1027,920786,2016,K,180,142,0,Y,,
1017,246495,2016,2nd,171,136,1,N,125,114
1029,288959,2016,2nd,172,155,0,N,145,148
1020,756269,2016,1st,148,137,0,Y,219,152
1029,921349,2016,K,181,156,1,N,201,125
1016,653492,2016,2nd,168,135,0,Y,236,128
1025,928992,2016,K,138,128,1,N,161,200
1027,309903,2016,3rd,180,166,1,N,214,112
1020,795486,2016,3rd,172,143,1,N,230,209
1025,182746,2016,1st,168,149,1,Y,190,163
1022,923326,2016,K,180,169,0,N,,
1024,154666,2016,3rd,156,130,0,N,120,154
1021,568280,2016,3rd,177,150,0,N,131,177
1022,272945,2016,1st,177,146,1,N,159,135
1030,928649,2016,K,150,137,1,Y,232,216
1030,556478,2016,1st,163,128,0,N,145,133
1029,728421,2016,1st,173,165,1,N,,
1026,712730,2016,2nd,179,151,0,N,183,191
1010,688849,2016,1st,168,130,1,Y,130,210
1025,827567,2016,1st,160,132,0,N,123,206
1031,396264,2016,1st,158,129,0,Y,181,124
1018,612951,2016,1st,145,132,0,N,226,219
1012,753701,2016,1st,177,151,1,N,120,185
1022,230115,2016,1st,182,136,0,N,237,158
1015,925288,2016,K,142,137,1,N,232,206
1027,544646,2016,1st,165,159,0,N,137,176
1014,209839,2016,2nd,177,141,0,Y,130,199
1029,826066,2016,2nd,149,147,0,N,,
1019,306898,2016,1st,180,154,0,N,198,119
1030,369278,2016,2nd,139,130,1,N,157,118
1026,652757,2016,3rd,157,129,0,N,179,128
1020,348839,2016,2nd,181,136,0,Y,128,156
