Case Number,Law Enforcement Case Number,Date of Crash,Y-Coordinate (UTM NAD 83 Zone 15),X-Coordinate (UTM NAD 83 Zone 15),Time,Day of Week,County,Road System,Route,Cardinal Direction of Vehicles,Mainline or Ramp,Overpass/Underpass Information,Derived Literal Description,Road Classification,Intersection Class,Crash Severity,Amount of Property Damage,Major Cause,Drug or Alcohol Related,Driver Age,Driver Age - 5 year Bins,Driver Gender
20191089180,19000187,20190101,4705252,548374,18:03,Tuesday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,GREENHILL RD & CEDAR HEIGHTS DR,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,7500,FTYROW:  Making left turn,Alcohol (Statutory),40,>= 40 and <= 44,Male
20191089180,19000187,20190101,4705252,548374,18:03,Tuesday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,GREENHILL RD & CEDAR HEIGHTS DR,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,7500,FTYROW:  Making left turn,Alcohol (Statutory),26,>= 25 and <= 29,Male
20191089203,FD19-0038,20190103,4706940,402262,20:39,Thursday,Webster,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,N 7TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Other,Alcohol (Statutory),47,>= 45 and <= 49,Female
20191089206,20190000242,20190104,4608621,449388,01:51,Friday,Polk,US Route,6,Eastbound (EB),Mainline,Not reported,US 6/E EUCLID AVE,US Route,Not Indicated as an Intersection,Property Damage Only,5500,Exceeded authorized speed,Alcohol (Statutory),40,>= 40 and <= 44,Male
20191089432,20190000334,20190104,4605203,443880,22:49,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KINGMAN BLVD,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Failed to keep in proper lane,Alcohol (Statutory),200,,Not reported
20191089432,20190000334,20190104,4605203,443880,22:49,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KINGMAN BLVD,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Failed to keep in proper lane,Alcohol (Statutory),39,>= 35 and <= 39,Female
20191089432,20190000334,20190104,4605203,443880,22:49,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KINGMAN BLVD,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Failed to keep in proper lane,Alcohol (Statutory),200,,Not reported
20191089445,19-00493,20190105,4521081,656729,17:04,Saturday,Des Moines,US Route,61,Northbound (NB),Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Possible/Unknown Injury Crash,2500,FTYROW:  Other,Under Influence of Alcohol/Drugs/Medications,53,>= 50 and <= 54,Female
20191089445,19-00493,20190105,4521081,656729,17:04,Saturday,Des Moines,US Route,61,Northbound (NB),Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Possible/Unknown Injury Crash,2500,FTYROW:  Other,Under Influence of Alcohol/Drugs/Medications,30,>= 30 and <= 34,Male
20191089477,20190000404,20190105,4604305,449207,19:30,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E WALNUT ST & E 6TH ST,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,11000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),25,>= 25 and <= 29,Female
20191089477,20190000404,20190105,4604305,449207,19:30,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E WALNUT ST & E 6TH ST,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,11000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),33,>= 30 and <= 34,Male
20191089492,20190000423,20190106,4604759,450416,01:00,Sunday,Polk,US Route,69,Northbound (NB),Mainline,Not reported,US 69/E 15TH ST & CAPITOL AVE,US Route,US Route - Municipal,Property Damage Only,6000,Ran stop sign,Under Influence of Alcohol/Drugs/Medications,24,>= 21 and <= 24,Not reported
20191089492,20190000423,20190106,4604759,450416,01:00,Sunday,Polk,US Route,69,Northbound (NB),Mainline,Not reported,US 69/E 15TH ST & CAPITOL AVE,US Route,US Route - Municipal,Property Damage Only,6000,Ran stop sign,Under Influence of Alcohol/Drugs/Medications,49,>= 45 and <= 49,Male
20191089542,19-000001,20190101,4784403,284136,00:35,Tuesday,O'Brien,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 2ND ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,7000,Improper backing,Alcohol (Statutory),28,>= 25 and <= 29,Female
20191089542,19-000001,20190101,4784403,284136,00:35,Tuesday,O'Brien,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 2ND ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,7000,Improper backing,Alcohol (Statutory),200,,Not reported
20191089554,20190000469,20190106,4608059,442229,15:19,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,URBANDALE AVE,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,4150,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),47,>= 45 and <= 49,Male
20191089585,3028,20190105,4620738,339141,18:10,Saturday,Audubon,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,WASHINGTON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,15000,Other,Alcohol (Statutory),200,,Not reported
20191089585,3028,20190105,4620738,339141,18:10,Saturday,Audubon,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,WASHINGTON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,15000,Other,Alcohol (Statutory),53,>= 50 and <= 54,Male
20191089585,3028,20190105,4620738,339141,18:10,Saturday,Audubon,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,WASHINGTON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,15000,Other,Alcohol (Statutory),200,,Not reported
20191089587,FD19-0067,20190107,4708145,402676,01:55,Monday,Webster,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,13TH AVE N,Municipal Road,Not Indicated as an Intersection,Property Damage Only,12000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),20,= 20,Male
20191089637,2019-000056,20190103,4710439,690850,17:37,Thursday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,JACKSON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,25500,Lost control,Alcohol (Statutory),61,>= 60 and <= 64,Female
20191089637,2019-000056,20190103,4710439,690850,17:37,Thursday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,JACKSON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,25500,Lost control,Alcohol (Statutory),200,,Not reported
20191089637,2019-000056,20190103,4710439,690850,17:37,Thursday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,JACKSON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,25500,Lost control,Alcohol (Statutory),200,,Not reported
20191089668,S-IN-19-0003,20190106,4593648,619641,00:26,Sunday,Washington,Iowa Route,22,Westbound (WB),Mainline,Not reported,IA 22,Iowa Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,3000,Driver Distraction:  Manual operation of an electronic communication device,Alcohol (Statutory),17,= 17,Male
20191089740,N19000015,20190104,4623184,612668,18:25,Friday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F28/250TH ST,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,19000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),40,>= 40 and <= 44,Male
20191089740,N19000015,20190104,4623184,612668,18:25,Friday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F28/250TH ST,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,19000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),35,>= 35 and <= 39,Male
20191089740,N19000015,20190104,4623184,612668,18:25,Friday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F28/250TH ST,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,19000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),56,>= 55 and <= 59,Male
20191089909,19-687,20190107,4712313,223043,00:58,Monday,Woodbury,Iowa Route,376,No Travel Direction Consistent with Route,Mainline,Not reported,IA 376/LEWIS BLVD & 22ND ST,Iowa Route,IA Route - Municipal,Property Damage Only,1500,Ran off road - straight,Alcohol (Statutory),23,>= 21 and <= 24,Male
20191089915,W19-001341,20190105,4702914,554947,22:35,Saturday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E MITCHELL AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),55,>= 55 and <= 59,Male
20191090011,2019000132,20190104,4611004,623955,12:06,Friday,Johnson,US Route,6,Eastbound (EB),Mainline,Not reported,US 6 & SYCAMORE ST,US Route,US Route - Municipal,Property Damage Only,2000,Followed too close,Alcohol (Statutory),60,>= 60 and <= 64,Male
20191090011,2019000132,20190104,4611004,623955,12:06,Friday,Johnson,US Route,6,Eastbound (EB),Mainline,Not reported,US 6 & SYCAMORE ST,US Route,US Route - Municipal,Property Damage Only,2000,Followed too close,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191090014,2019000223,20190107,4615873,621610,14:34,Monday,Johnson,Interstate,80,No Travel Direction Consistent with Route,Mainline,Not reported,I-80 & N DUBUQUE ST,Interstate,Interstate - Municipal,Possible/Unknown Injury Crash,13200,FTYROW:  Making left turn,Alcohol (Statutory),42,>= 40 and <= 44,Female
20191090014,2019000223,20190107,4615873,621610,14:34,Monday,Johnson,Interstate,80,No Travel Direction Consistent with Route,Mainline,Not reported,I-80 & N DUBUQUE ST,Interstate,Interstate - Municipal,Possible/Unknown Injury Crash,13200,FTYROW:  Making left turn,Alcohol (Statutory),55,>= 55 and <= 59,Female
20191090018,2019000214,20190107,4612348,617104,05:00,Monday,Johnson,US Route,218,Ramp,Ramp,Not reported,US 218/SE RAMP CURV,US Route,Not Indicated as an Intersection,Property Damage Only,13000,Ran off road - right,Alcohol (Statutory),18,= 18,Male
20191090074,2019000263,20190108,4611446,624752,17:29,Tuesday,Johnson,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S 1ST AVE,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,5500,Followed too close,Alcohol (< Statutory),34,>= 30 and <= 34,Male
20191090074,2019000263,20190108,4611446,624752,17:29,Tuesday,Johnson,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S 1ST AVE,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,5500,Followed too close,Alcohol (< Statutory),20,= 20,Male
20191090133,201900268,20190105,4644938,608798,19:45,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,29TH AVE SW,Municipal Road,Not Indicated as an Intersection,Property Damage Only,15000,Unknown,Alcohol (Statutory),200,,Not reported
20191090133,201900268,20190105,4644938,608798,19:45,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,29TH AVE SW,Municipal Road,Not Indicated as an Intersection,Property Damage Only,15000,Unknown,Alcohol (Statutory),25,>= 25 and <= 29,Male
20191090135,201900271,20190105,4645302,606410,21:12,Saturday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,EDGEWOOD RD SW,Municipal Road,Not Indicated as an Intersection,Property Damage Only,6000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,29,>= 25 and <= 29,Male
20191090135,201900271,20190105,4645302,606410,21:12,Saturday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,EDGEWOOD RD SW,Municipal Road,Not Indicated as an Intersection,Property Damage Only,6000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,21,>= 21 and <= 24,Female
20191090136,201900283,20190106,4653723,612694,01:18,Sunday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,OLD MARION RD NE CONN,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5500,Traveling wrong way or on wrong side of road,Refused,30,>= 30 and <= 34,Male
20191090167,19001602,20190107,4708374,546362,04:16,Monday,Black Hawk,Iowa Route,27,Both North and South,Mainline,Not reported,IA 27,Iowa Route,Not Indicated as an Intersection,Property Damage Only,4500,Crossed centerline (undivided),Alcohol (Statutory),22,>= 21 and <= 24,Female
20191090167,19001602,20190107,4708374,546362,04:16,Monday,Black Hawk,Iowa Route,27,Both North and South,Mainline,Not reported,IA 27,Iowa Route,Not Indicated as an Intersection,Property Damage Only,4500,Crossed centerline (undivided),Alcohol (Statutory),37,>= 35 and <= 39,Male
20191090169,1901088022,20190108,4636183,703485,23:20,Tuesday,Clinton,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd Y68/280TH AVE,Secondary Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,8000,Exceeded authorized speed,Alcohol (Statutory),51,>= 50 and <= 54,Male
20191090173,20190000714,20190109,4605221,449814,02:17,Wednesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 13TH ST,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,10000,Ran stop sign,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191090194,19-811,20190108,4611787,496744,15:35,Tuesday,Jasper,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd S74/HWY S-74 S,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,6000,Other,Refused,39,>= 35 and <= 39,Male
20191090237,19-000140,20190109,4748982,350063,06:10,Wednesday,Pocahontas,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd C15/420TH ST,Secondary Road,Not Indicated as an Intersection,Property Damage Only,10300,Ran off road - left,Alcohol (Statutory),59,>= 55 and <= 59,Male
20191090303,20190000804,20190109,4605376,446452,22:37,Wednesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,19TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3000,Lost control,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191090303,20190000804,20190109,4605376,446452,22:37,Wednesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,19TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3000,Lost control,Alcohol (Statutory),200,,Not reported
20191090322,2019-000094,20190105,4707016,692215,08:22,Saturday,Dubuque,US Route,20,Westbound (WB),Mainline,Not reported,US 20/DODGE ST,US Route,Not Indicated as an Intersection,Property Damage Only,3100,Lost control,Alcohol (Statutory),55,>= 55 and <= 59,Male
20191090322,2019-000094,20190105,4707016,692215,08:22,Saturday,Dubuque,US Route,20,Westbound (WB),Mainline,Not reported,US 20/DODGE ST,US Route,Not Indicated as an Intersection,Property Damage Only,3100,Lost control,Alcohol (Statutory),32,>= 30 and <= 34,Male
20191090350,2019-2486,20190109,4603495,705005,17:17,Wednesday,Scott,US Route,6,Eastbound (EB),Mainline,Not reported,US 6/E KIMBERLY RD & JERSEY RIDGE RD,US Route,US Route - Municipal,Property Damage Only,7000,Followed too close,Under Influence of Alcohol/Drugs/Medications,57,>= 55 and <= 59,Male
20191090350,2019-2486,20190109,4603495,705005,17:17,Wednesday,Scott,US Route,6,Eastbound (EB),Mainline,Not reported,US 6/E KIMBERLY RD & JERSEY RIDGE RD,US Route,US Route - Municipal,Property Damage Only,7000,Followed too close,Under Influence of Alcohol/Drugs/Medications,37,>= 35 and <= 39,Not reported
20191090351,2019-2488,20190109,4604095,704992,17:20,Wednesday,Scott,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 41ST ST & JERSEY RIDGE RD,Municipal Road,Municipal - Municipal,Property Damage Only,5000,Crossed centerline (undivided),Refused,57,>= 55 and <= 59,Male
20191090351,2019-2488,20190109,4604095,704992,17:20,Wednesday,Scott,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 41ST ST & JERSEY RIDGE RD,Municipal Road,Municipal - Municipal,Property Damage Only,5000,Crossed centerline (undivided),Refused,18,= 18,Female
20191090388,19-1015,20190110,4715401,223965,02:09,Thursday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CENTRAL ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,21000,Ran off road - right,Alcohol (Statutory),26,>= 25 and <= 29,Female
20191090388,19-1015,20190110,4715401,223965,02:09,Thursday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CENTRAL ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,21000,Ran off road - right,Alcohol (Statutory),200,,Not reported
20191090388,19-1015,20190110,4715401,223965,02:09,Thursday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CENTRAL ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,21000,Ran off road - right,Alcohol (Statutory),200,,Not reported
20191090555,2019000930,20190110,4593276,434867,17:45,Thursday,Warren,Interstate,35,Southbound (SB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Property Damage Only,1650,Driver Distraction:  Other interior distraction,Alcohol (Statutory),59,>= 55 and <= 59,Male
20191090572,M,20190101,4576238,319908,06:00,Tuesday,Cass,US Route,6,Eastbound (EB),Mainline,Not reported,US 6/WHITE POLE RD & 542ND ST,US Route,US Route - Secondary,Possible/Unknown Injury Crash,10500,Ran off road - right,Alcohol (Statutory),40,>= 40 and <= 44,Male
20191090629,20190000979,20190111,4609267,443522,15:56,Friday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MADISON AVE & BEAVER AVE,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Followed too close,Alcohol (Statutory),37,>= 35 and <= 39,Male
20191090629,20190000979,20190111,4609267,443522,15:56,Friday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MADISON AVE & BEAVER AVE,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Followed too close,Alcohol (Statutory),68,>= 65 and <= 69,Male
20191090638,19-312,20190112,4616649,433888,02:09,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,NW 13TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,1700,Driving too fast for conditions,Under Influence of Alcohol/Drugs/Medications,32,>= 30 and <= 34,Male
20191090640,19006202,20190112,4596169,631400,00:53,Saturday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd X14/WAPSI AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,20000,Driving too fast for conditions,Refused,57,>= 55 and <= 59,Male
20191090662,FD19-0107,20190111,4705287,403235,13:30,Friday,Webster,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S 15TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3000,Exceeded authorized speed,Alcohol (Statutory),20,= 20,Male
20191090662,FD19-0107,20190111,4705287,403235,13:30,Friday,Webster,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S 15TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3000,Exceeded authorized speed,Alcohol (Statutory),200,,Not reported
20191090729,19000264,20190110,4731242,440007,15:32,Thursday,Wright,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S MAIN ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,12500,Driver Distraction:  Other interior distraction,Alcohol (Statutory),200,,Not reported
20191090729,19000264,20190110,4731242,440007,15:32,Thursday,Wright,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S MAIN ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,12500,Driver Distraction:  Other interior distraction,Alcohol (Statutory),200,,Not reported
20191090729,19000264,20190110,4731242,440007,15:32,Thursday,Wright,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S MAIN ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,12500,Driver Distraction:  Other interior distraction,Alcohol (Statutory),18,= 18,Male
20191090729,19000264,20190110,4731242,440007,15:32,Thursday,Wright,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S MAIN ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,12500,Driver Distraction:  Other interior distraction,Alcohol (Statutory),200,,Not reported
20191090819,19-00205,20190112,4604727,435728,19:03,Saturday,Polk,Interstate,235,Ramp,Ramp,Not reported,I-235 & 50TH ST,Interstate,Interstate - Municipal,Possible/Unknown Injury Crash,8000,Driving too fast for conditions,Alcohol (Statutory),61,>= 60 and <= 64,Female
20191090819,19-00205,20190112,4604727,435728,19:03,Saturday,Polk,Interstate,235,Ramp,Ramp,Not reported,I-235 & 50TH ST,Interstate,Interstate - Municipal,Possible/Unknown Injury Crash,8000,Driving too fast for conditions,Alcohol (Statutory),58,>= 55 and <= 59,Male
20191090840,2019-3494,20190113,4606685,699270,02:07,Sunday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,N PINE ST & NORTHWEST BLVD,Municipal Road,Municipal - Municipal,Property Damage Only,15000,Driving too fast for conditions,Refused,35,>= 35 and <= 39,Male
20191090845,20190001048,20190112,4609031,447959,04:00,Saturday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SENECA AVE & 6TH AVE,Municipal Road,Municipal - Municipal,Property Damage Only,16000,Driving too fast for conditions,Alcohol (Statutory),46,>= 45 and <= 49,Male
20191090845,20190001048,20190112,4609031,447959,04:00,Saturday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SENECA AVE & 6TH AVE,Municipal Road,Municipal - Municipal,Property Damage Only,16000,Driving too fast for conditions,Alcohol (Statutory),17,= 17,Female
20191090941,020362,20190113,4811610,352936,15:10,Sunday,Emmet,Iowa Route,4,Northbound (NB),Mainline,Not reported,IA 4/IOWA 4,Iowa Route,Not Indicated as an Intersection,Property Damage Only,15000,Exceeded authorized speed,Alcohol (Statutory),43,>= 40 and <= 44,Female
20191090993,19001465,20190112,4598327,675272,01:05,Saturday,Muscatine,US Route,61,Northbound (NB),Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,16500,Driving too fast for conditions,Alcohol (Statutory),48,>= 45 and <= 49,Male
20191090993,19001465,20190112,4598327,675272,01:05,Saturday,Muscatine,US Route,61,Northbound (NB),Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,16500,Driving too fast for conditions,Alcohol (Statutory),47,>= 45 and <= 49,Female
20191091002,CG1900001,20190101,4780935,478826,04:18,Tuesday,Cerro Gordo,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd S36/MALLARD AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,10000,Ran off road - left,Alcohol (Statutory),32,>= 30 and <= 34,Female
20191091027,19000863,20190111,4576230,548413,21:54,Friday,Mahaska,Iowa Route,92,Both East and West,Mainline,Not reported,IA 92/IOWA 92,Iowa Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,25000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),18,= 18,Male
